MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2255882,CLOSED,922 Dalton Ridge Place,Apex,27523,9/25/2019,Townes at North Salem,"2,479",2019,3,2,1,Attached,"$349,900.00","$345,400.00",0,Yes,2,0-.25 Acres,0.99
2211562,CLOSED,1021 Waymaker Court,Apex,27502,8/20/2019,Hempstead at Beaver Creek,"2,417",2019,3,3,1,Attached,"$345,000.00","$345,531.00",0,Yes,2,0-.25 Acres,1.00
2180859,CLOSED,808 New Derby Lane,Apex,27523,10/30/2018,Salem Pointe,"1,844",2018,3,2,1,Attached,"$346,750.00","$346,750.00",0,Yes,2,0-.25 Acres,1.00
2154661,CLOSED,1896 Blue Jay Point,Apex,27502,1/31/2018,Bella Casa,"2,518",2017,3,3,1,Attached,"$349,900.00","$346,900.00",0,Yes,2,0-.25 Acres,0.99
2255713,CLOSED,549 Metro Station,Apex,27502,11/19/2019,The Villages of Apex,"2,721",2017,4,3,1,Attached,"$344,900.00","$347,000.00",123,Yes,2,0-.25 Acres,1.01
2324973,CLOSED,1637 Wimberly Road,Apex,27523,8/28/2020,Townes at Westford,"2,405",2020,4,3,1,Attached,"$349,129.00","$347,500.00",0,Yes,2,0-.25 Acres,1.00
2341802,CLOSED,2716 Masonboro Ferry Drive,Apex,27502,10/30/2020,Bella Casa,"2,146",2016,3,2,1,Attached,"$349,990.00","$347,500.00",10,Yes,2,0-.25 Acres,0.99
2227714,CLOSED,1138 Doe Blossom Lane,Apex,27502,4/17/2019,Deer Creek,"2,676",2019,5,3,0,Attached,"$350,990.00","$347,990.00",0,Yes,2,0-.25 Acres,0.99
2166888,CLOSED,2326 Mt Zion Church Road,Apex,27502,5/24/2018,Bella Casa,"2,518",2017,3,3,1,Attached,"$351,900.00","$348,000.00",0,Yes,2,0-.25 Acres,0.99
2325361,CLOSED,1025 Lathrop Lane,Apex,27523,10/13/2020,Townes at North Salem,"2,502",2020,4,2,1,Attached,"$347,510.00","$348,010.00",0,Yes,2,0-.25 Acres,1.00
2210262,CLOSED,2575 Rambling Creek Road,Apex,27523,2/28/2019,The Preserve at White Oak Creek,"2,157",2018,3,2,1,Attached,"$359,722.00","$348,228.00",0,Yes,2,0-.25 Acres,0.97
2268460,CLOSED,1155 Platform Drive,Apex,27502,12/9/2019,The Villages of Apex,"2,417",2019,3,2,1,Attached,"$344,990.00","$348,580.00",0,,2,0-.25 Acres,1.01
2215476,CLOSED,563 Metro Station,Apex,27502,5/10/2019,The Villages of Apex,"2,388",2019,3,2,1,Attached,"$348,900.00","$348,900.00",0,Yes,2,0-.25 Acres,1.00
2171575,CLOSED,566 Chessie Station,Apex,27502,7/16/2018,The Villages of Apex,"2,388",2018,3,2,1,Attached,"$348,900.00","$348,900.00",0,Yes,2,0-.25 Acres,1.00
2180877,CLOSED,801 New Derby Lane,Apex,27523,11/20/2018,Salem Pointe,"1,844",2018,3,2,1,Attached,"$349,195.00","$349,195.00",0,Yes,2,0-.25 Acres,1.00
2332112,CLOSED,1894 Blue Jay Point,Apex,27502,9/15/2020,Bella Casa,"2,518",2017,3,3,1,Attached,"$349,500.00","$349,500.00",12,Yes,2,0-.25 Acres,1.00
2181848,CLOSED,2543 Sunnybranch Lane,Apex,27523,10/31/2018,The Preserve at White Oak Creek,"2,202",2018,3,2,1,Attached,"$349,671.00","$349,855.00",0,Yes,2,0-.25 Acres,1.00
2264215,CLOSED,1024 Waymaker Court,Apex,27502,9/30/2019,Hempstead at Beaver Creek,"2,428",2017,3,3,1,Attached,"$349,900.00","$349,900.00",18,,2,0-.25 Acres,1.00
2236308,CLOSED,567 Metro Station,Apex,27502,5/24/2019,The Villages of Apex,"2,388",2019,3,2,1,Attached,"$349,900.00","$349,900.00",0,Yes,2,0-.25 Acres,1.00
2180180,CLOSED,535 Metro Station,Apex,27502,4/30/2018,The Villages of Apex,"2,715",2017,4,3,1,Attached,"$349,900.00","$349,900.00",0,Yes,2,0-.25 Acres,1.00
2154658,CLOSED,1894 Blue Jay Point,Apex,27502,1/29/2018,Bella Casa,"2,518",2017,3,3,1,Attached,"$352,900.00","$349,900.00",0,Yes,2,0-.25 Acres,0.99
2227723,CLOSED,1126 Doe Blossom Lane,Apex,27502,3/29/2019,Deer Creek,"2,784",2019,5,4,0,Attached,"$379,765.00","$349,990.00",0,Yes,2,0-.25 Acres,0.92
2278250,CLOSED,521 Wayland Grove Drive,Apex,27523,11/12/2019,Wayland Grove,"2,323",2019,4,2,1,Attached,"$354,990.00","$350,000.00",0,Yes,2,0-.25 Acres,0.99
2255878,CLOSED,913 Dalton Ridge Place,Apex,27523,11/1/2019,Townes at North Salem,"2,479",2019,3,2,1,Attached,"$359,900.00","$350,000.00",0,Yes,2,0-.25 Acres,0.97
2321711,CLOSED,866 Tunisian Drive,Apex,27523-7537,9/29/2020,540 Townes,"2,314",2017,4,3,1,Attached,"$354,900.00","$350,000.00",35,Yes,2,0-.25 Acres,0.99
2253483,CLOSED,208 Meadow Beauty Drive,Apex,27539,6/28/2019,West Lake,"2,410",2007,3,3,0,Attached,"$350,000.00","$350,000.00",4,Yes,2,0-.25 Acres,1.00
2310692,CLOSED,873 Tunisian Drive,Apex,27523,5/7/2020,540 Townes,"2,250",2017,3,3,1,Attached,"$359,000.00","$350,000.00",18,Yes,2,0-.25 Acres,0.97
2135298,CLOSED,877 Tunisian Drive,Apex,27523,4/5/2018,540 Townes,"2,245",2017,4,3,1,Attached,"$330,129.00","$350,478.00",0,,2,0-.25 Acres,1.06
2277235,CLOSED,903 Dalton Ridge Place,Apex,27523,9/26/2019,Townes at North Salem,"2,479",2019,3,3,1,Attached,"$354,900.00","$351,290.00",0,Yes,2,0-.25 Acres,0.99
2175070,CLOSED,2804 Lanasa Lane,Apex,27523,10/26/2018,Sweetwater,"2,207",2018,3,3,1,Attached,"$351,325.00","$351,325.00",0,Yes,1,0-.25 Acres,1.00
2296334,CLOSED,805 Richmont Grove Lane,Apex,27523,6/25/2020,Townes at North Salem,"2,479",2020,3,2,2,Attached,"$350,820.00","$351,360.00",0,Yes,2,0-.25 Acres,1.00
2227763,CLOSED,3401 Antler View Drive,Apex,27502,3/22/2019,Deer Creek,"2,784",2019,5,3,0,Attached,"$349,900.00","$351,990.00",0,Yes,2,0-.25 Acres,1.01
2166896,CLOSED,2334 Mt Zion Church Road,Apex,27502,5/25/2018,Bella Casa,"2,518",2017,3,3,1,Attached,"$357,900.00","$352,000.00",0,Yes,2,0-.25 Acres,0.98
2227727,CLOSED,3402 Antler View Drive,Apex,27502,3/18/2019,Deer Creek,"2,784",2019,5,3,0,Attached,"$349,990.00","$352,000.00",0,Yes,2,0-.25 Acres,1.01
2212203,CLOSED,547 Grand Central Station,Apex,27502,12/11/2018,The Villages of Apex,"2,679",2016,4,3,1,Attached,"$355,000.00","$352,000.00",65,Yes,2,0-.25 Acres,0.99
2286642,CLOSED,535 Grand Central Station,Apex,27502,4/23/2020,The Villages of Apex,"2,682",2017,4,3,1,Attached,"$355,000.00","$352,000.00",29,Yes,2,0-.25 Acres,0.99
2284122,CLOSED,939 Haybeck Lane,Apex,27523,5/29/2020,Townes at Westford,"2,629",2020,3,2,2,Attached,"$360,236.00","$352,000.00",0,Yes,2,0-.25 Acres,0.98
2198539,CLOSED,2547 Sunnybranch Lane,Apex,27523,11/7/2018,The Preserve at White Oak Creek,"2,238",2018,3,2,1,Attached,"$352,671.00","$352,214.00",0,Yes,2,0-.25 Acres,1.00
2177838,CLOSED,809 New Derby Lane,Apex,27523,11/28/2018,Salem Pointe,"1,844",2018,3,2,1,Attached,"$352,715.00","$352,715.00",0,Yes,2,0-.25 Acres,1.00
2133913,CLOSED,853 Tunisian Drive,Apex,27523,1/5/2018,540 Townes,"2,245",2017,4,3,1,Attached,"$333,377.00","$353,492.00",0,,2,0-.25 Acres,1.06
2236304,CLOSED,1086 Ambergate Station,Apex,27502,4/22/2019,The Villages of Apex,"2,280",2019,3,3,1,Attached,"$353,000.00","$354,410.00",0,Yes,2,0-.25 Acres,1.00
2248908,CLOSED,551 Wayland Grove Drive,Apex,27523,8/29/2019,Wayland Grove,"2,289",2019,3,2,1,Attached,"$369,588.00","$354,807.00",0,Yes,2,0-.25 Acres,0.96
2270130,CLOSED,545 Wayland Grove Drive,Apex,27523,8/15/2019,Wayland Grove,"2,323",2019,3,2,1,Attached,"$355,000.00","$355,000.00",0,Yes,2,0-.25 Acres,1.00
2299631,CLOSED,1451 Orchard Villas Avenue,Apex,27502-4323,6/26/2020,The Orchard Villas,"1,733",2014,2,2,0,Attached,"$360,000.00","$355,000.00",115,Yes,2,0-.25 Acres,0.99
2326795,CLOSED,224 Mayfield Drive,Apex,27539,8/10/2020,Woodcreek,"2,512",2015,3,2,1,Attached,"$350,000.00","$355,000.00",3,Yes,2,0-.25 Acres,1.01
