,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
168,2330247,CLOSED,112 Graystar Road,Apex,27502,7/27/2020,Carriage Downs,1425,2005,3,2,1,Attached,220000.0,223000.0,3,Yes,0,0-.25 Acres,1.01,6
510,2210711,CLOSED,1128 Doe Blossom Lane,Apex,27502,3/28/2019,Deer Creek,2025,2019,3,2,1,Attached,279990.0,279990.0,0,Yes,2,0-.25 Acres,1.0,10
1019,2310558,CLOSED,2007 Ackerman Hill Drive,Apex,27502,8/19/2020,Hempstead at Beaver Creek,2436,2017,4,3,1,Attached,314900.0,315000.0,108,Yes,2,0-.25 Acres,1.0,20
106,2163731,CLOSED,1423 Salem Creek Drive,Apex,27502,8/7/2018,Salem Creek Townhomes,1587,2018,2,2,2,Attached,217555.0,213160.0,0,Yes,1,0-.25 Acres,0.98,32
314,2221852,CLOSED,803 Myrtle Grove Lane,Apex,27502,3/4/2019,The Groves,1855,2007,4,2,1,Attached,255000.0,253000.0,80,Yes,0,0-.25 Acres,0.99,42
492,2230948,CLOSED,107 Havelock Court,Apex,27539,2/28/2019,Scots Laurel,2505,2006,3,2,2,Attached,279500.0,277500.0,17,Yes,2,0-.25 Acres,0.99,34
355,2141721,CLOSED,832 New Derby Lane,Apex,27523,2/15/2018,Salem Pointe,1687,2018,3,2,1,Attached,261005.0,261005.0,0,,1,0-.25 Acres,1.0,33
1457,2318932,CLOSED,929 Haybeck Lane,Apex,27523,8/24/2020,Townes at Westford,2760,2020,3,2,1,Attached,379182.0,379182.0,0,Yes,2,0-.25 Acres,1.0,49
1173,2135316,CLOSED,885 Tunisian Drive,Apex,27523,4/17/2018,540 Townes,2510,2017,4,3,1,Attached,327900.0,325400.0,0,,2,0-.25 Acres,0.99,0
1521,2182356,CLOSED,422 Hopwood Way,Apex,27502,10/9/2018,Middleton,3000,2018,4,4,0,Attached,416014.0,416014.0,0,,2,0-.25 Acres,1.0,23
1130,2160669,CLOSED,1161 Little Gem Lane,Apex,27523,8/6/2018,Sweetwater,1785,2018,3,2,1,Attached,323088.0,323088.0,0,Yes,1,0-.25 Acres,1.0,41
822,2310726,CLOSED,562 Grand Central Station,Apex,27502,6/5/2020,The Villages of Apex,2400,2018,3,3,1,Attached,304900.0,301500.0,18,Yes,2,0-.25 Acres,0.99,45
1070,2270076,CLOSED,505 Wayland Grove Drive,Apex,27523,10/22/2019,Wayland Grove,2323,2019,4,2,1,Attached,319990.0,319000.0,0,Yes,2,0-.25 Acres,1.0,51
1490,2247764,CLOSED,1307 Littlehills Drive,Apex,27523,7/11/2019,Middleton,2651,2018,4,3,0,Attached,405000.0,397500.0,57,Yes,2,0-.25 Acres,0.98,23
290,2233149,CLOSED,1067 Branch Line Lane,Apex,27502,10/30/2019,The Villages of Apex,1701,2019,3,2,1,Attached,290175.0,249260.0,0,Yes,2,0-.25 Acres,0.86,45
884,2293712,CLOSED,2857 Dallas Valley Lane,Apex,27502,7/30/2020,Townes at Friendship Station,1806,2019,3,2,1,Attached,305000.0,305000.0,0,Yes,2,0-.25 Acres,1.0,47
1279,2135276,CLOSED,887 Tunisian Drive,Apex,27523,4/20/2018,540 Townes,2245,2017,4,3,1,Attached,325014.0,335319.0,0,,2,0-.25 Acres,1.03,0
299,2283070,CLOSED,102 Gallent Hedge Trail,Apex,27539-6506,11/8/2019,Miramonte,2006,2006,3,3,1,Attached,250000.0,250000.0,1,Yes,1,0-.25 Acres,1.0,24
225,2261730,CLOSED,3003 White Cloud Circle,Apex,27502-4065,7/10/2019,Dogwood,1851,2004,3,2,1,Attached,240000.0,235000.0,2,Yes,0,0-.25 Acres,0.98,11
1458,2315569,CLOSED,936 Haybeck Lane,Apex,27523,6/29/2020,Townes at Westford,2780,2020,3,2,1,Attached,383155.0,380000.0,0,Yes,2,0-.25 Acres,0.99,49
1315,2325356,CLOSED,1005 Lathrop Lane,Apex,27523,7/30/2020,Townes at North Salem,2502,2020,3,3,1,Attached,346590.0,340000.0,0,Yes,2,0-.25 Acres,0.98,48
1110,2177263,CLOSED,1110 Boxcar Way,Apex,27502,5/9/2018,The Villages of Apex,2451,2015,3,3,1,Attached,322000.0,321000.0,25,Yes,2,0-.25 Acres,1.0,45
969,2343462,CLOSED,317 Great Northern Station,Apex,27502,10/19/2020,The Villages of Apex,2214,2019,3,3,1,Attached,314900.0,310000.0,3,Yes,2,0-.25 Acres,0.98,45
247,2234683,CLOSED,2449 Baslow Drive,Apex,27539-9062,3/27/2019,Pemberley,1710,2013,3,2,1,Attached,246900.0,243000.0,19,Yes,1,0-.25 Acres,0.98,30
241,2204566,CLOSED,2457 Baslow Drive,Apex,27539,8/22/2018,Pemberley,1718,2013,3,2,1,Attached,250000.0,242000.0,8,Yes,1,0-.25 Acres,0.97,30
1013,2229939,CLOSED,2905 Sunflower Road,Apex,27502,5/22/2019,Smith Farm,2304,2019,3,3,1,Attached,314990.0,314990.0,0,Yes,2,0-.25 Acres,1.0,39
550,2266662,CLOSED,514 Old Mill Village Drive,Apex,27502,9/23/2019,Old Mill Village,1774,2016,3,2,1,Attached,289900.0,283000.0,7,Yes,2,0-.25 Acres,0.98,26
1342,2336322,CLOSED,2201 Red Knot Lane,Apex,27502,10/19/2020,Peak 502 at Beaver Creek,2242,2020,4,3,1,Attached,354000.0,345000.0,0,Yes,2,0-.25 Acres,0.97,29
1446,2189326,CLOSED,945 Carolina Bell Road,Apex,27502-4319,7/25/2018,The Orchard Villas,1806,2013,2,2,0,Attached,375000.0,373500.0,62,Yes,2,0-.25 Acres,1.0,43
452,2302356,CLOSED,1444 Providence Green Lane,Apex,27502,4/24/2020,Green at Scotts Mill,1843,2015,3,3,1,Attached,274900.0,274900.0,13,Yes,1,0-.25 Acres,1.0,16
923,2180923,CLOSED,905 Shoofly Path,Apex,27502,5/18/2018,The Villages of Apex,2098,2015,4,3,1,Attached,310000.0,308500.0,12,Yes,1,0-.25 Acres,1.0,45
1302,2268965,CLOSED,2728 Masonboro Ferry Drive,Apex,27502,9/24/2019,Bella Casa,2175,2016,3,2,1,Attached,339000.0,339000.0,4,Yes,2,0-.25 Acres,1.0,2
1229,2240496,CLOSED,575 Metro Station,Apex,27502,7/31/2019,The Villages of Apex,2388,2019,3,2,1,Attached,339900.0,330000.0,0,Yes,2,0-.25 Acres,0.97,45
848,2160875,CLOSED,843 Salem Pointe Place,Apex,27523,7/27/2018,Salem Pointe,1687,2018,3,2,1,Attached,303235.0,303235.0,0,,1,0-.25 Acres,1.0,33
1153,2311592,CLOSED,667 Grand Central Station,Apex,27502,7/20/2020,The Villages of Apex,2225,2020,3,3,1,Attached,324900.0,324900.0,0,Yes,2,0-.25 Acres,1.0,45
1213,2168105,CLOSED,2039 Ackerman Hill Drive,Apex,27502,9/20/2018,Hempstead at Beaver Creek,2417,2018,3,3,1,Attached,329650.0,329650.0,0,Yes,2,0-.25 Acres,1.0,20
785,2297620,CLOSED,1110 Platform Drive,Apex,27502,5/27/2020,The Villages of Apex,1985,2020,3,2,1,Attached,299990.0,299990.0,0,Yes,2,0-.25 Acres,1.0,45
472,2259087,CLOSED,114 Pleasant Glen Lane,Apex,27539-5334,8/30/2019,Woodcreek,1952,2016,3,2,1,Attached,279000.0,275000.0,43,Yes,1,0-.25 Acres,0.99,56
648,2280801,CLOSED,1120 Doe Blossom Lane,Apex,27502,12/27/2019,Deer Creek,1962,2019,3,2,1,Attached,289990.0,290465.0,0,Yes,2,0-.25 Acres,1.0,10
304,2263411,CLOSED,128 Bowerbank Lane,Apex,27539,10/21/2019,Woodcreek,1662,2017,3,2,1,Attached,253900.0,252000.0,64,Yes,1,0-.25 Acres,0.99,56
1313,2275451,CLOSED,621 Metro Station,Apex,27502,10/30/2019,The Villages of Apex,2406,2019,3,2,1,Attached,342900.0,340000.0,0,Yes,2,0-.25 Acres,0.99,45
991,2146455,CLOSED,4000 Reedybrook Crossing,Apex,27523,7/20/2018,540 Townes,2208,2017,3,3,1,Attached,319900.0,313000.0,0,,2,0-.25 Acres,0.98,0
1422,2335871,CLOSED,529 Metro Station,Apex,27502,9/22/2020,The Villages of Apex,2608,2017,4,3,1,Attached,360000.0,365000.0,10,Yes,2,0-.25 Acres,1.01,45
1308,2318068,CLOSED,657 Metro Station,Apex,27502,7/2/2020,The Villages of Apex,2388,2020,3,2,1,Attached,339900.0,339900.0,0,Yes,2,0-.25 Acres,1.0,45
441,2194488,CLOSED,2505 Rambling Creek Road,Apex,27523,7/11/2018,The Preserve at White Oak Creek,1620,2018,3,2,1,Attached,275000.0,273000.0,0,Yes,1,0-.25 Acres,0.99,44
506,2249696,CLOSED,1131 Doe Blossom Lane,Apex,27502,11/21/2019,Deer Creek,2165,2019,3,2,1,Attached,279900.0,279900.0,0,Yes,2,0-.25 Acres,1.0,10
1232,2212956,CLOSED,906 Dalton Ridge Place,Apex,27523,6/15/2019,Townes at North Salem,2502,2018,4,3,1,Attached,339990.0,330000.0,0,Yes,2,0-.25 Acres,0.97,48
878,2148027,CLOSED,1137 Little Gem Lane,Apex,27523,2/26/2018,Sweetwater,1785,2018,3,2,1,Attached,309285.0,305000.0,0,Yes,1,0-.25 Acres,0.99,41
342,2190235,CLOSED,2664 Impulsion Drive,Apex,27562,3/11/2019,Woodbury,1818,2019,3,2,1,Attached,257670.0,258795.0,0,Yes,2,0-.25 Acres,1.0,55
743,2205230,CLOSED,2259 Chattering Lory Lane,Apex,27502,9/19/2018,Peak 502 at Beaver Creek,2046,2018,4,3,1,Attached,302990.0,297000.0,0,Yes,2,0-.25 Acres,0.98,29
898,2160178,CLOSED,842 Salem Pointe Place,Apex,27523,6/28/2018,Salem Pointe,1844,2018,3,2,1,Attached,306153.0,306153.0,0,,2,0-.25 Acres,1.0,33
850,2324360,CLOSED,1161 Chestnut Bluff Run,Apex,27502,10/23/2020,Deer Creek,2165,2020,3,2,1,Attached,303465.0,303465.0,0,Yes,2,0-.25 Acres,1.0,10
1149,2140853,CLOSED,541 Metro Station,Apex,27502,1/16/2018,The Villages of Apex,2680,2017,4,3,1,Attached,329900.0,324900.0,0,Yes,2,0-.25 Acres,0.98,45
745,2220396,CLOSED,103 Haybarn Court,Apex,27502-6231,11/28/2018,Seagroves Farm,2094,2007,3,2,1,Attached,305000.0,297500.0,9,Yes,2,0-.25 Acres,0.98,38
1320,2170177,CLOSED,216 Meadow Beauty Drive,Apex,27539,3/9/2018,West Lake,2312,2007,3,3,0,Attached,329900.0,341230.0,6,Yes,2,0-.25 Acres,1.03,53
1177,2234436,CLOSED,603 Metro Station,Apex,27502,9/17/2019,The Villages of Apex,2388,2019,3,2,1,Attached,329900.0,326400.0,0,Yes,2,0-.25 Acres,0.99,45
1434,2314179,CLOSED,944 Haybeck Lane,Apex,27523,6/26/2020,Townes at Westford,2516,2020,3,2,1,Attached,374112.0,370000.0,0,Yes,2,0-.25 Acres,0.99,49
548,2335353,CLOSED,607 Old Mill Village Drive,Apex,27502,10/1/2020,Old Mill Village,1870,2013,3,2,1,Attached,289900.0,283000.0,34,Yes,2,0-.25 Acres,0.98,26
1397,2312417,CLOSED,659 Metro Station,Apex,27502,6/26/2020,The Villages of Apex,2406,2020,3,2,1,Attached,357500.0,357500.0,0,Yes,2,0-.25 Acres,1.0,45
1190,2180241,CLOSED,1029 Brownsmith Drive,Apex,27502,11/7/2018,Hempstead at Beaver Creek,2417,2018,3,3,1,Attached,326560.0,327630.0,0,Yes,2,0-.25 Acres,1.0,20
804,2238836,CLOSED,2302 Apex Peakway,Apex,27502,5/9/2019,Old Mill Village,1781,2018,3,2,1,Attached,300000.0,300000.0,0,Yes,2,0-.25 Acres,1.0,26
938,2150465,CLOSED,2808 Lanasa Lane,Apex,27523,2/9/2018,Sweetwater,1785,2017,3,2,1,Attached,309695.0,309535.0,0,Yes,1,0-.25 Acres,1.0,41
700,2216774,CLOSED,1107 Little Gem Lane,Apex,27523,4/15/2019,Sweetwater,1785,2019,3,2,1,Attached,294990.0,294880.0,0,Yes,1,0-.25 Acres,1.0,41
1366,2227723,CLOSED,1126 Doe Blossom Lane,Apex,27502,3/29/2019,Deer Creek,2784,2019,5,4,0,Attached,379765.0,349990.0,0,Yes,2,0-.25 Acres,0.92,10
709,2267771,CLOSED,828 Richmont Grove Lane,Apex,27523,1/13/2020,Townes at North Salem,1984,2019,4,3,1,Attached,299900.0,295000.0,0,Yes,2,0-.25 Acres,0.98,48
1021,2322003,CLOSED,121 Mayfield Drive,Apex,27539,8/25/2020,Woodcreek,1800,2014,3,2,1,Attached,315000.0,315000.0,11,Yes,2,0-.25 Acres,1.0,56
616,2187187,CLOSED,3403 Antler View Drive,Apex,27502,12/31/2018,Deer Creek,2196,2018,3,2,1,Attached,299000.0,289000.0,0,Yes,2,0-.25 Acres,0.97,10
1237,2221652,CLOSED,1319 Center Street,Apex,27502,6/28/2019,The Groves,2421,2008,3,2,1,Attached,339900.0,330000.0,183,,2,0-.25 Acres,0.97,42
625,2296635,CLOSED,3145 Retama Run,Apex,27562,4/28/2020,Woodbury,1818,2020,3,2,1,Attached,291985.0,289985.0,0,Yes,2,0-.25 Acres,0.99,55
417,2310452,CLOSED,700 Treviso Lane,Apex,27502-2185,6/15/2020,55 James at Midtown,1764,2015,3,2,1,Attached,272000.0,270000.0,52,Yes,1,0-.25 Acres,0.99,1
1357,2215476,CLOSED,563 Metro Station,Apex,27502,5/10/2019,The Villages of Apex,2388,2019,3,2,1,Attached,348900.0,348900.0,0,Yes,2,0-.25 Acres,1.0,45
378,2316468,CLOSED,100 Tobacco Leaf Lane,Apex,27502,5/22/2020,Seagroves Farm,1523,2007,3,2,1,Attached,259900.0,265000.0,1,Yes,1,0-.25 Acres,1.02,38
408,2244848,CLOSED,2447 Baslow Drive,Apex,27539-9062,7/8/2019,Pemberley,1984,2013,4,3,0,Attached,274900.0,269500.0,36,Yes,1,0-.25 Acres,0.98,30
1407,2227733,CLOSED,3406 Antler View Drive,Apex,27502,4/26/2019,Deer Creek,2676,2019,5,4,0,Attached,370990.0,360000.0,0,Yes,2,0-.25 Acres,0.97,10
1410,2190877,CLOSED,2851 Haw River Trail,Apex,27502,10/26/2018,Bella Casa,2518,2018,3,3,1,Attached,362900.0,360900.0,0,Yes,2,0-.25 Acres,0.99,2
200,2287464,CLOSED,102 Sanair Court,Apex,27502,12/11/2019,Heatherwood Townhomes,1474,1987,3,2,1,Attached,228500.0,228500.0,4,Yes,0,0-.25 Acres,1.0,19
1011,2332625,CLOSED,659 Grand Central Station,Apex,27502,9/8/2020,The Villages of Apex,2203,2020,3,3,1,Attached,312400.0,314900.0,0,Yes,2,0-.25 Acres,1.01,45
67,2222831,CLOSED,110 Parkerson Lane,Apex,27502,12/7/2018,Carriage Downs,1470,2003,3,2,1,Attached,200000.0,205000.0,3,,0,0-.25 Acres,1.03,6
817,2298130,CLOSED,1419 Herb Garden Way,Apex,27502,5/5/2020,Smith Farm,2145,2020,4,3,1,Attached,300620.0,300620.0,0,Yes,2,0-.25 Acres,1.0,39
913,2165646,CLOSED,2237 Chattering Lory Lane,Apex,27502,8/15/2018,Peak 502 at Beaver Creek,2173,2018,4,3,1,Attached,311990.0,307500.0,0,Yes,2,0-.25 Acres,0.99,29
354,2196654,CLOSED,2674 Impulsion Drive,Apex,27562,2/5/2019,Woodbury,1818,2019,3,2,1,Attached,261410.0,260515.0,0,Yes,2,0-.25 Acres,1.0,55
236,2294771,CLOSED,915 Straywhite Avenue,Apex,27539,3/12/2020,Miramonte,2027,2005,3,3,1,Attached,240000.0,240000.0,28,,1,0-.25 Acres,1.0,24
1166,2224728,CLOSED,1096 Ambergate Station,Apex,27502,4/29/2019,The Villages of Apex,2280,2019,3,3,1,Attached,325000.0,325000.0,0,Yes,2,0-.25 Acres,1.0,45
1327,2226898,CLOSED,220 Meadow Beauty Drive,Apex,27539,2/15/2019,West Lake,2345,2007,4,3,0,Attached,355000.0,343000.0,43,Yes,2,0-.25 Acres,0.97,53
1435,2215831,CLOSED,2524 Rambling Creek Road,Apex,27523,2/14/2020,The Preserve at White Oak Creek,3155,2019,4,3,1,Attached,384049.0,370000.0,0,Yes,2,0-.25 Acres,0.96,44
806,2157106,CLOSED,721 Sawcut Lane,Apex,27502,10/12/2018,Old Mill Village,1781,2017,3,2,1,Attached,308000.0,300000.0,0,Yes,2,0-.25 Acres,0.97,26
122,2270976,CLOSED,406 Knightsborough Way,Apex,27502,9/13/2019,Haddon Hall,1625,1999,3,2,1,Attached,208900.0,215000.0,0,Yes,0,0-.25 Acres,1.03,17
1423,2306371,CLOSED,536 Metro Station,Apex,27502,4/30/2020,The Villages of Apex,2977,2017,4,3,1,Attached,378000.0,365000.0,17,Yes,2,0-.25 Acres,0.97,45
1347,2180859,CLOSED,808 New Derby Lane,Apex,27523,10/30/2018,Salem Pointe,1844,2018,3,2,1,Attached,346750.0,346750.0,0,Yes,2,0-.25 Acres,1.0,33
88,2317348,CLOSED,690 Wickham Ridge Road,Apex,27539,7/1/2020,Pemberley,1328,2014,2,2,1,Attached,215000.0,210000.0,16,,0,0-.25 Acres,0.98,30
69,2206065,CLOSED,1217 Bungalow Park Drive,Apex,27502,8/28/2018,Scotts Mill at Bungalow Park,1444,2002,2,2,1,Attached,210000.0,205000.0,3,Yes,0,0-.25 Acres,0.98,37
1118,2292221,CLOSED,103 Willow View Lane,Apex,27539,3/9/2020,Woodcreek,2599,2016,3,2,1,Attached,325000.0,322000.0,41,,2,0-.25 Acres,0.99,56
127,2229936,CLOSED,132 Altair Circle,Apex,27502,2/8/2019,Heatherwood Townhomes,1353,1991,2,2,0,Attached,215000.0,215000.0,0,Yes,0,0-.25 Acres,1.0,19
967,2327302,CLOSED,715 Edgewater Ridge Court,Apex,27523,7/24/2020,Edgewater,2632,2014,3,3,1,Attached,317000.0,310000.0,4,,2,0-.25 Acres,0.98,13
1274,2326739,CLOSED,1012 Drayman Place,Apex,27502,8/31/2020,Hempstead at Beaver Creek,2418,2018,4,3,1,Attached,348100.0,335000.0,35,Yes,2,0-.25 Acres,0.96,20
387,2269067,CLOSED,504 Village Loop Drive,Apex,27502,10/31/2019,Scotts Mill,1765,2016,3,3,1,Attached,269000.0,265500.0,66,Yes,1,0-.25 Acres,0.99,36
1144,2169533,CLOSED,242 Meadow Beauty Drive,Apex,27539,3/15/2018,West Lake,2310,2008,3,3,0,Attached,324900.0,324900.0,1,Yes,2,0-.25 Acres,1.0,53
1522,2241229,CLOSED,2516 Rambling Creek Road,Apex,27523,6/28/2019,The Preserve at White Oak Creek,3157,2019,4,3,1,Attached,419231.0,419231.0,0,Yes,2,0-.25 Acres,1.0,44
665,2248345,CLOSED,2689 Impulsion Drive,Apex,27562,6/5/2019,Woodbury,1936,2019,3,2,1,Attached,291900.0,291900.0,0,Yes,2,0-.25 Acres,1.0,55
260,2307055,CLOSED,424 Heritage Village Lane,Apex,27502,5/4/2020,Green at Scotts Mill,1583,2001,3,2,1,Attached,230000.0,245000.0,1,Yes,1,0-.25 Acres,1.07,16
904,2179078,CLOSED,2226 Chattering Lory Lane,Apex,27502,3/15/2018,Peak 502 at Beaver Creek,2173,2018,4,3,1,Attached,306790.0,306790.0,0,,2,0-.25 Acres,1.0,29
216,2181338,CLOSED,1403 Waterland Drive,Apex,27502,5/9/2018,Seagroves Farm,1497,2007,2,2,1,Attached,225000.0,232500.0,4,Yes,1,0-.25 Acres,1.03,38
587,2228953,CLOSED,2919 Great Lawn Road,Apex,27502,4/10/2019,Smith Farm,2145,2018,3,3,1,Attached,289990.0,287000.0,0,Yes,2,0-.25 Acres,0.99,39
905,2342849,CLOSED,1191 Lookout Ridge,Apex,27502,10/16/2020,Promanade at Beaver Creek,2021,2017,3,2,1,Attached,309900.0,307000.0,1,Yes,2,0-.25 Acres,0.99,31
1514,2174111,CLOSED,410 Hopwood Way,Apex,27502,8/27/2018,Middleton,2600,2018,4,3,0,Attached,409545.0,409545.0,0,,2,0-.25 Acres,1.0,23
1068,2171612,CLOSED,111 Mayfield Drive,Apex,27539,6/12/2018,Woodcreek,2559,2015,3,2,1,Attached,319500.0,319000.0,79,Yes,2,0-.25 Acres,1.0,56
769,2298195,CLOSED,516 Old Mill Village Drive,Apex,27502,3/3/2020,The Villages of Apex,2066,2016,3,2,1,Attached,303900.0,299000.0,11,Yes,2,0-.25 Acres,0.98,45
1258,2325977,CLOSED,653 Metro Station,Apex,27502,6/18/2020,The Villages of Apex,2388,2020,3,2,1,Attached,332455.0,332455.0,0,Yes,2,0-.25 Acres,1.0,45
939,2224283,CLOSED,2915 Great Lawn Road,Apex,27502,2/19/2019,Smith Farm,2145,2018,4,3,1,Attached,309605.0,309605.0,0,Yes,2,0-.25 Acres,1.0,39
1078,2319870,CLOSED,620 Grand Central Station,Apex,27502,6/19/2020,The Villages of Apex,2207,2020,3,3,1,Attached,319900.0,319900.0,0,Yes,2,0-.25 Acres,1.0,45
615,2130945,CLOSED,1458 Salem Creek Drive,Apex,27502,5/30/2018,Salem Creek Townhomes,2088,2017,4,3,1,Attached,294990.0,289000.0,0,Yes,1,0-.25 Acres,0.98,32
876,2296537,CLOSED,3414 Dropseed Drive,Apex,27502,3/27/2020,Deer Creek,2165,2020,3,2,1,Attached,315465.0,304990.0,0,Yes,2,0-.25 Acres,0.97,10
610,2228472,CLOSED,1089 Branch Line Lane,Apex,27502,6/28/2019,The Villages of Apex,1701,2019,3,2,1,Attached,289000.0,289000.0,0,Yes,2,0-.25 Acres,1.0,45
650,2133001,CLOSED,5006 Reedybrook Crossing,Apex,27523,6/29/2018,540 Townes,2158,2017,3,3,1,Attached,283860.0,290834.0,0,,2,0-.25 Acres,1.02,0
1212,2239108,CLOSED,2913 Sunflower Road,Apex,27502,5/6/2019,Smith Farm,2308,2019,4,3,1,Attached,339675.0,329505.0,0,Yes,2,0-.25 Acres,0.97,39
716,2218068,CLOSED,548 Old Mill Village Drive,Apex,27502,12/14/2018,Old Mill Village,2090,2008,3,3,1,Attached,299000.0,295000.0,5,Yes,2,0-.25 Acres,0.99,26
673,2291640,CLOSED,1012 Larabee Lane,Apex,27523,12/30/2019,Townes at North Salem,1984,2019,4,3,1,Attached,296500.0,292500.0,0,Yes,2,0-.25 Acres,0.99,48
676,2140365,CLOSED,1133 Little Gem Lane,Apex,27523,4/27/2018,Sweetwater,1764,2017,3,2,1,Attached,292510.0,292510.0,0,Yes,1,0-.25 Acres,1.0,41
1058,2230074,CLOSED,2909 Sunflower Drive,Apex,27502,6/28/2019,Smith Farm,2361,2018,4,3,1,Attached,319990.0,318000.0,0,Yes,2,0-.25 Acres,0.99,39
178,2292318,CLOSED,117 Fanwood Court,Apex,27502,1/31/2020,Bradley Terrace,1640,2006,3,2,1,Attached,225000.0,225000.0,4,Yes,1,0-.25 Acres,1.0,4
1477,2298722,CLOSED,1643 Wimberly Road,Apex,27523,5/28/2020,Townes at Westford,2465,2020,4,3,1,Attached,388459.0,388459.0,0,Yes,2,0-.25 Acres,1.0,49
849,2207037,CLOSED,2903 Great Lawn Road,Apex,27502,12/13/2018,Smith Farm,2145,2018,3,3,1,Attached,303330.0,303330.0,0,Yes,2,0-.25 Acres,1.0,39
578,2161828,CLOSED,2310 Apex Peakway,Apex,27502,11/1/2018,Old Mill Village,1788,2017,3,2,1,Attached,285000.0,285000.0,0,,2,0-.25 Acres,1.0,26
961,2313025,CLOSED,5059 Homeplace Drive,Apex,27539,6/19/2020,West Lake,2402,2007,3,2,1,Attached,314900.0,310000.0,16,Yes,2,0-.25 Acres,0.98,53
362,2172609,CLOSED,100 Castien Cove Place,Apex,27539-9402,4/12/2018,Woodcreek,1952,2016,2,2,1,Attached,269900.0,262500.0,34,Yes,1,0-.25 Acres,0.97,56
1264,2135320,CLOSED,881 Tunisian Drive,Apex,27523,4/5/2018,540 Townes,2510,2017,4,3,1,Attached,336900.0,333669.0,0,,2,0-.25 Acres,0.99,0
380,2161075,CLOSED,1626 Shepherds Glade Drive,Apex,27523,1/10/2018,Walden Townes,1815,1997,3,2,1,Attached,265000.0,265000.0,13,,1,0-.25 Acres,1.0,50
1414,2249925,CLOSED,2816 Crowders Ridge Lane,Apex,27502,5/24/2019,Bella Casa Townes,2518,2017,3,3,1,Attached,375000.0,362000.0,0,Yes,2,0-.25 Acres,0.97,3
968,2298984,CLOSED,2501 Sunnybranch Lane,Apex,27523-7804,3/26/2020,The Preserve at White Oak Creek,1970,2018,3,2,1,Attached,315000.0,310000.0,22,Yes,1,0-.25 Acres,0.98,44
1479,2198724,CLOSED,1312 Littlehills Drive,Apex,27502,12/21/2018,Middleton,2600,2018,4,3,0,Attached,394990.0,390000.0,0,,2,0-.25 Acres,0.99,23
99,2224502,CLOSED,1130 Scotts Ridge Trail,Apex,27502-6882,1/22/2019,Scotts Mill at Bungalow Park,1347,2003,2,2,1,Attached,215000.0,211000.0,2,Yes,0,0-.25 Acres,0.98,37
688,2241478,CLOSED,2004 Old Chapman Drive,Apex,27502,12/6/2019,Hempstead at Beaver Creek,2034,2019,3,2,1,Attached,292380.0,293265.0,0,Yes,1,0-.25 Acres,1.0,20
459,2221454,CLOSED,2666 Impulsion Drive,Apex,27562,4/5/2019,Woodbury,1836,2019,3,2,1,Attached,279900.0,275000.0,0,Yes,2,0-.25 Acres,0.98,55
419,2229804,CLOSED,1383 Regents Lane,Apex,27502,12/20/2019,Salem Creek Townhomes,2224,2019,3,3,1,Attached,274900.0,270000.0,0,Yes,1,0-.25 Acres,0.98,32
1519,2241233,CLOSED,2528 Rambling Creek Road,Apex,27523,4/29/2019,The Preserve at White Oak Creek,3157,2019,4,3,1,Attached,418436.0,415000.0,0,Yes,2,0-.25 Acres,0.99,44
1339,2220330,CLOSED,147 Jamison Woods Lane,Apex,27539-5771,12/10/2018,Jamison Park,2367,2005,4,3,1,Attached,345000.0,345000.0,2,,1,0-.25 Acres,1.0,21
947,2298716,CLOSED,2275 Red Knot Lane,Apex,27502,6/17/2020,Peak 502 at Beaver Creek,2094,2020,4,3,1,Attached,309990.0,309990.0,0,Yes,2,0-.25 Acres,1.0,29
1398,2322186,CLOSED,558 Chessie Station,Apex,27502,7/31/2020,The Villages of Apex,1789,2018,3,2,1,Attached,360000.0,357500.0,2,Yes,2,0-.25 Acres,0.99,45
851,2187419,CLOSED,3412 Antler View Drive,Apex,27502,4/26/2019,Deer Creek,2196,2019,3,2,1,Attached,310990.0,303490.0,0,Yes,2,0-.25 Acres,0.98,10
1374,2175070,CLOSED,2804 Lanasa Lane,Apex,27523,10/26/2018,Sweetwater,2207,2018,3,3,1,Attached,351325.0,351325.0,0,Yes,1,0-.25 Acres,1.0,41
1487,2157834,CLOSED,2105 McKenzie Ridge Lane,Apex,27502,4/30/2018,McKenzie Ridge,2764,2018,4,3,0,Attached,399900.0,394000.0,0,Yes,2,0-.25 Acres,0.99,22
421,2171599,CLOSED,301 Castien Cove Place,Apex,27539,4/30/2018,Woodcreek,1856,2018,3,2,1,Attached,274314.0,270000.0,0,Yes,1,0-.25 Acres,0.98,56
213,2331159,CLOSED,123 Baberton Drive,Apex,27502,8/10/2020,Bradley Terrace,1677,2006,3,2,1,Attached,225000.0,230000.0,2,Yes,0,0-.25 Acres,1.02,4
1266,2259223,CLOSED,905 Dalton Ridge Place,Apex,27523,11/6/2019,Townes at North Salem,2502,2019,4,3,1,Attached,334900.0,334700.0,0,Yes,2,0-.25 Acres,1.0,48
1129,2267679,CLOSED,549 Wayland Grove Drive,Apex,27523,8/24/2019,Wayland Grove,2323,2019,3,2,1,Attached,329990.0,323000.0,0,Yes,2,0-.25 Acres,0.98,51
