,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
360,2338957,CLOSED,173 Old Grove Lane,Apex,27507,10/14/2020,The Groves,1428,2006,2,2,1,Attached,265000.0,262000.0,10,Yes,0,0-.25 Acres,0.99,42
424,2102056,CLOSED,1005 Drayman Place,Apex,27502,2/27/2018,Hempstead at Beaver Creek,1741,2018,3,2,1,Attached,283060.0,270000.0,0,Yes,2,0-.25 Acres,0.95,20
337,2309949,CLOSED,117 Writing Rock Place,Apex,27539,5/14/2020,Woodcreek,1856,2017,3,2,1,Attached,259999.0,257500.0,3,Yes,1,0-.25 Acres,0.99,56
1380,2286642,CLOSED,535 Grand Central Station,Apex,27502,4/23/2020,The Villages of Apex,2682,2017,4,3,1,Attached,355000.0,352000.0,29,Yes,2,0-.25 Acres,0.99,45
936,2236442,CLOSED,2010 Old Chapman Drive,Apex,27502,9/27/2019,Hempstead at Beaver Creek,2084,2019,4,3,1,Attached,306000.0,309255.0,0,Yes,1,0-.25 Acres,1.01,20
652,2166837,CLOSED,627 Old Salem Way,Apex,27523,9/21/2018,Salem Pointe,1754,2018,3,2,1,Attached,278145.0,290990.0,0,,1,0-.25 Acres,1.05,33
1254,2270108,CLOSED,511 Wayland Grove Drive,Apex,27523,11/22/2019,Wayland Grove,2323,2019,3,2,1,Attached,349990.0,332000.0,0,Yes,2,0-.25 Acres,0.95,51
879,2196584,CLOSED,903 Shoofly Path,Apex,27502,7/13/2018,The Villages of Apex,2067,2015,4,3,1,Attached,305000.0,305000.0,5,Yes,1,0-.25 Acres,1.0,45
255,2171494,CLOSED,2040 White Pond Court,Apex,27523,4/13/2018,Walden Townes,1619,2002,3,2,1,Attached,244900.0,245000.0,12,Yes,1,0-.25 Acres,1.0,50
1365,2154658,CLOSED,1894 Blue Jay Point,Apex,27502,1/29/2018,Bella Casa,2518,2017,3,3,1,Attached,352900.0,349900.0,0,Yes,2,0-.25 Acres,0.99,2
1260,2312788,CLOSED,1634 Brussels Drive,Apex,27502,8/6/2020,South Walk,2161,2020,3,2,1,Attached,339900.0,333000.0,0,Yes,2,0-.25 Acres,0.98,40
285,2254404,CLOSED,335 Anterbury Drive,Apex,27502,7/11/2019,Bradley Terrace,2113,2008,3,3,1,Attached,247900.0,247900.0,19,Yes,0,0-.25 Acres,1.0,4
1201,2289696,CLOSED,620 Metro Station,Apex,27502,4/14/2020,The Villages of Apex,2397,2020,3,2,1,Attached,327400.0,328600.0,0,Yes,2,0-.25 Acres,1.0,45
1470,2283890,CLOSED,2518 Rambling Creek Road,Apex,27523,1/3/2020,The Preserve at White Oak Creek,3155,2019,4,3,1,Attached,392873.0,385000.0,0,Yes,2,0-.25 Acres,0.98,44
1517,2217499,CLOSED,554 Rowanwood Way,Apex,27502,11/30/2018,Middleton,2252,2018,3,2,1,Attached,412711.0,412711.0,0,,2,0-.25 Acres,1.0,23
641,2287416,CLOSED,607 Grand Central Station,Apex,27502,1/10/2020,The Villages of Apex,2203,2019,3,3,1,Attached,292900.0,290000.0,0,Yes,2,0-.25 Acres,0.99,45
1475,2198733,CLOSED,1307 Littlehills Drive,Apex,27523,12/27/2018,Middleton,2651,2018,4,3,0,Attached,389000.0,388000.0,0,,2,0-.25 Acres,1.0,23
115,2260221,CLOSED,415 Heritage Village Lane,Apex,27502,7/26/2019,Green at Scotts Mill,1471,2003,3,2,1,Attached,215000.0,215000.0,0,Yes,0,0-.25 Acres,1.0,16
1518,2218377,CLOSED,576 Rowanwood Way,Apex,27523,10/26/2018,Middleton,3000,2018,4,4,0,Attached,414990.0,414990.0,0,,2,0-.25 Acres,1.0,23
863,2294578,CLOSED,823 Richmont Grove Lane,Apex,27523,4/24/2020,Townes at North Salem,1984,2019,4,3,1,Attached,305000.0,304230.0,0,Yes,2,0-.25 Acres,1.0,48
1092,2215467,CLOSED,101 Haybarn Court,Apex,27502,11/9/2018,Seagroves Farm,2480,2007,3,2,1,Attached,320000.0,320000.0,10,Yes,2,0-.25 Acres,1.0,38
1526,2334567,CLOSED,513 Rowanwood Way,Apex,27523-9328,10/23/2020,Middleton,3071,2017,4,4,0,Attached,429900.0,427000.0,41,Yes,2,0-.25 Acres,0.99,23
278,2166562,CLOSED,620 Sawcut Lane,Apex,27502,2/28/2018,Old Mill Village,1909,2007,4,2,1,Attached,239000.0,247100.0,4,Yes,2,0-.25 Acres,1.03,26
1427,2244488,CLOSED,601 Metro Station,Apex,27502,8/5/2019,The Villages of Apex,2406,2019,3,2,1,Attached,367390.0,367390.0,0,,2,0-.25 Acres,1.0,45
401,2324298,CLOSED,203 Castien Cove Place,Apex,27539,8/27/2020,Woodcreek,1698,2018,3,2,1,Attached,269000.0,268000.0,14,,1,0-.25 Acres,1.0,56
1067,2153837,CLOSED,1113 Boxcar Way,Apex,27605,1/29/2018,The Villages of Apex,2444,2015,4,3,1,Attached,329000.0,319000.0,57,,2,0-.25 Acres,0.97,45
1211,2268321,CLOSED,2716 Masonboro Ferry Drive,Apex,27502-3683,12/20/2019,Parkside at Bella Casa,2146,2016,3,2,1,Attached,325000.0,329000.0,41,Yes,2,0-.25 Acres,1.01,28
831,2330514,CLOSED,1147 Little Gem Lane,Apex,27523,8/31/2020,Sweetwater,1808,2018,3,2,1,Attached,306999.0,302000.0,3,Yes,1,0-.25 Acres,0.98,41
289,2175382,CLOSED,1011 Arbor Valley Lane,Apex,27502-3937,4/16/2018,Glen Arbor,1844,2002,3,2,1,Attached,250000.0,249000.0,8,Yes,1,0-.25 Acres,1.0,14
1370,2253483,CLOSED,208 Meadow Beauty Drive,Apex,27539,6/28/2019,West Lake,2410,2007,3,3,0,Attached,350000.0,350000.0,4,Yes,2,0-.25 Acres,1.0,53
1299,2284641,CLOSED,161 Jamison Woods Lane,Apex,27539,11/25/2019,Jamison Park,2404,2004,4,3,1,Attached,339000.0,339000.0,14,Yes,1,0-.25 Acres,1.0,21
1354,2325361,CLOSED,1025 Lathrop Lane,Apex,27523,10/13/2020,Townes at North Salem,2502,2020,4,2,1,Attached,347510.0,348010.0,0,Yes,2,0-.25 Acres,1.0,48
1010,2228705,CLOSED,325 Great Northern Station,Apex,27502,4/25/2019,The Villages of Apex,2187,2019,3,3,1,Attached,314900.0,314900.0,0,Yes,2,0-.25 Acres,1.0,45
1142,2241895,CLOSED,537 Wayland Grove Drive,Apex,27523,9/11/2019,Wayland Grove,2289,2019,3,2,1,Attached,327990.0,324065.0,0,Yes,2,0-.25 Acres,0.99,51
1345,2255882,CLOSED,922 Dalton Ridge Place,Apex,27523,9/25/2019,Townes at North Salem,2479,2019,3,2,1,Attached,349900.0,345400.0,0,Yes,2,0-.25 Acres,0.99,48
148,2283599,CLOSED,1024 Mica Lamp Court,Apex,27502,11/15/2019,Scotts Mill at Bungalow Park,1350,2007,2,2,1,Attached,225000.0,220000.0,3,Yes,0,0-.25 Acres,0.98,37
