MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
2260318,CLOSED,1939 Mostyn Lane,Apex,27502,7/31/2019,Salem Village,3289,2012,4,3,1,Detached,469000.0,469000.0,2,Yes,2,0-.25 Acres,1.0,187
2187695,CLOSED,1309 Gilwood Drive,Apex,27502,9/26/2018,Middleton,3723,2018,5,3,0,Detached,539072.0,538892.0,0,Yes,2,0-.25 Acres,1.0,146
2209751,CLOSED,2716 Dilly Dally Court,Apex,27539,11/27/2018,Reunion Pointe,2462,2018,4,2,1,Detached,360306.0,353862.0,0,Yes,2,0-.25 Acres,0.98,178
2184819,CLOSED,4064 Reunion Creek Parkway,Apex,27539,11/21/2018,Reunion Pointe,2682,2018,5,3,0,Detached,379990.0,372990.0,0,Yes,2,0-.25 Acres,0.98,178
2117455,CLOSED,7625 Humie Olive Road,Apex,27502-9670,1/3/2018,Friendship Acres,2690,1981,3,2,0,Detached,389000.0,356000.0,190,,0,1-2.9 Acres,0.92,77
2298902,CLOSED,2001 Simca Court,Apex,27502-4012,3/23/2020,Woodridge,2001,1998,3,2,1,Detached,334900.0,341500.0,5,Yes,2,0-.25 Acres,1.02,272
2211878,CLOSED,2007 Baffins Bay Path,Apex,27523-6946,3/29/2019,Walden Creek,2910,2000,4,2,1,Detached,396000.0,387500.0,178,,2,.26-.5 Acres,0.98,244
2326803,CLOSED,6705 Orchard Knoll Drive,Apex,27539,8/12/2020,Orchard Knoll,1554,1981,3,2,0,Detached,300000.0,315000.0,2,No,0,.76-.99 Acres,1.05,162
2324728,CLOSED,204 Wedge Porr Court,Apex,27539,7/23/2020,Churchill Estates,4539,2011,5,4,1,Detached,665000.0,663000.0,9,Yes,3,.26-.5 Acres,1.0,42
2149293,CLOSED,2080 Vandiver Way,Apex,27523,3/11/2019,Providence at Yates Pond,4373,2017,5,4,1,Detached,799900.0,799900.0,0,Yes,3,.26-.5 Acres,1.0,176
2174841,CLOSED,3721 Tammy Court,Apex,27523,7/27/2018,Darlington Woods,3651,2018,5,4,0,Detached,553990.0,524141.0,0,Yes,2,0-.25 Acres,0.95,57
2162631,CLOSED,4004 Frontenac Court,Apex,27539-9322,4/12/2018,Grenadier,3898,2001,4,3,1,Detached,599000.0,575000.0,75,Yes,3,.51-.75 Acres,0.96,87
2320053,CLOSED,2937 Kenna Creek Bend,Apex,27502,6/17/2020,McKenzie Ridge Manors,3477,2020,5,4,1,Detached,559520.0,559520.0,0,Yes,2,0-.25 Acres,1.0,144
2245977,CLOSED,1158 Gloriosa Street,Apex,27523,9/30/2019,Sweetwater,3271,2019,3,3,1,Detached,471745.0,471595.0,0,Yes,2,0-.25 Acres,1.0,227
2254280,CLOSED,654 Yellow Oak Drive,Apex,27523,1/24/2020,Oak Pointe,3171,2020,5,4,0,Detached,515225.0,515225.0,0,Yes,2,0-.25 Acres,1.0,155
2193623,CLOSED,4609 Slayton Drive,Apex,27539,6/29/2018,Hallmark,2500,1993,3,2,1,Detached,379900.0,370000.0,3,No,2,.51-.75 Acres,0.97,93
2192320,CLOSED,1000 E Saint Julian Place,Apex,27502-8900,9/4/2018,Vintage Grove,2580,1993,4,2,1,Detached,339900.0,335000.0,63,Yes,2,0-.25 Acres,0.99,243
2325882,CLOSED,3817 Perney Court,Apex,27539,8/7/2020,Hallmark West,3097,1994,4,4,0,Detached,479900.0,482000.0,1,No,2,.76-.99 Acres,1.0,94
2240248,CLOSED,2329 Stonewood Bend Drive,Apex,27539,5/23/2019,Stonewood Manor,3737,2019,4,4,0,Detached,580312.0,577213.0,0,Yes,3,.51-.75 Acres,0.99,212
2171863,CLOSED,301 Brierridge Drive,Apex,27502,4/19/2018,Greenbrier,1928,1999,3,2,1,Detached,299900.0,305000.0,10,Yes,2,0-.25 Acres,1.02,85
2222800,CLOSED,1340 Brown Velvet Lane,Apex,27523,10/17/2018,Sweetwater,3271,2017,4,3,1,Detached,540615.0,540615.0,0,Yes,2,0-.25 Acres,1.0,227
2335555,CLOSED,3011 Wolfs Bane Drive,Apex,27539,9/17/2020,West Lake,3301,2006,4,3,0,Detached,434900.0,430000.0,8,Yes,2,.26-.5 Acres,0.99,253
2208342,CLOSED,1206 Rainesview Lane,Apex,27502,9/24/2018,Surrey Meadows,1987,1996,3,2,1,Detached,327000.0,330500.0,2,Yes,2,0-.25 Acres,1.01,223
2251245,CLOSED,608 N Coalport Drive,Apex,27502,5/31/2019,Amherst,2002,1995,4,2,1,Detached,310000.0,325000.0,0,Yes,2,.26-.5 Acres,1.05,2
2290316,CLOSED,3048 Mavisbank Circle,Apex,27502,6/26/2020,Buckhorn Preserve,2291,2020,3,3,1,Detached,429990.0,426000.0,0,Yes,2,.26-.5 Acres,0.99,27
2268616,CLOSED,3068 Portland Avenue,Apex,27502,8/26/2019,Saddlebrook,3520,2019,4,4,1,Detached,530000.0,531927.0,0,Yes,2,0-.25 Acres,1.0,185
2207770,CLOSED,509 Windcrest Drive,Apex,27502,12/10/2018,Hunter Valley,2375,1994,4,2,1,Detached,309000.0,295000.0,85,No,2,.26-.5 Acres,0.95,113
2223665,CLOSED,204 Windcap Drive,Apex,27539-6940,2/4/2019,Sunset Hills,1482,1999,4,2,0,Detached,235000.0,228000.0,17,Yes,1,0-.25 Acres,0.97,219
2315343,CLOSED,316 N Mason Street,Apex,27502,7/15/2020,Not in a Subdivision,3486,2020,5,4,0,Detached,690000.0,680000.0,0,No,2,.26-.5 Acres,0.99,153
2310210,CLOSED,1210 Pearson Farms Road,Apex,27502,4/30/2020,Pearson Farms,2211,1998,4,2,1,Detached,350000.0,353000.0,0,Yes,2,.26-.5 Acres,1.01,167
2239748,CLOSED,1728 Aberdour Drive,Apex,27502,1/29/2020,Buckhorn Preserve,3473,2019,4,3,1,Detached,599990.0,599990.0,0,Yes,2,0-.25 Acres,1.0,27
2321433,CLOSED,1104 Waterford Green Drive,Apex,27502,7/15/2020,Waterford Green,1884,1997,3,2,1,Detached,335000.0,330000.0,15,,2,0-.25 Acres,0.99,247
2206699,CLOSED,2109 Vittorio Lane,Apex,27502,2/28/2019,Bella Casa,3620,2019,5,4,0,Detached,524990.0,522000.0,0,Yes,2,0-.25 Acres,0.99,11
2290995,CLOSED,1300 Fairfax Woods Drive,Apex,27502,3/11/2020,Beckett Crossing,3350,2004,4,2,1,Detached,440000.0,435000.0,53,Yes,3,.26-.5 Acres,0.99,10
2254154,CLOSED,1470 Barn Door Drive,Apex,27502,11/22/2019,Smith Farm,3225,2019,4,3,1,Detached,439990.0,439990.0,0,Yes,2,0-.25 Acres,1.0,203
2170994,CLOSED,1000 Eastham Drive,Apex,27502,4/20/2018,Shepherds Vineyard,3046,1989,4,3,1,Detached,419000.0,419000.0,15,Yes,1,0-.25 Acres,1.0,200
2292548,CLOSED,401 Tintern Lane,Apex,27502,12/4/2019,Middleton,4749,2019,5,4,1,Detached,695684.0,695684.0,0,Yes,3,.26-.5 Acres,1.0,146
