,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Full_Address,Lat,Lng
2200,2213916,CLOSED,404 Echo Park Place,Apex,27523,6/28/2019,Woodhall,"1,865",2019,3,2,0,Detached,"$428,358.00","$408,000.00",0,Yes,2,.26-.5 Acres,0.95,NC,"404 Echo Park Place,Apex,NC,27523",35.7887942,-78.9374725
2201,2174565,CLOSED,1214 Chimney Hill Drive,Apex,27502,4/3/2018,Shepherds Vineyard,"2,813",1986,4,2,1,Detached,"$415,900.00","$408,000.00",9,Yes,1,0-.25 Acres,0.98,NC,"1214 Chimney Hill Drive,Apex,NC,27502",35.7427882,-78.8321414
2202,2277999,CLOSED,5312 Moneta Lane,Apex,27539,12/30/2019,The Park At West Lake,"3,475",2013,5,4,0,Detached,"$414,900.00","$408,000.00",8,Yes,2,0-.25 Acres,0.98,NC,"5312 Moneta Lane,Apex,NC,27539",35.6550102,-78.7649548
2203,2264690,CLOSED,1902 Housatonic Court,Apex,27523-3801,8/19/2019,Charleston Village,"2,947",2001,4,3,0,Detached,"$410,000.00","$408,000.00",9,Yes,2,.26-.5 Acres,1.0,NC,"1902 Housatonic Court,Apex,NC,27523-3801",35.75961789999999,-78.8629909
2204,2225493,CLOSED,6904 Ten Ten Road,Apex,27539,3/7/2019,Not in a Subdivision,"2,764",2018,4,3,0,Detached,"$425,000.00","$408,000.00",73,No,2,1-2.9 Acres,0.96,NC,"6904 Ten Ten Road,Apex,NC,27539",35.6721349,-78.7212486
2205,2334059,CLOSED,213 Sunset Pointe Drive,Apex,27539,10/9/2020,Sunset Pointe,"3,060",2014,5,4,0,Detached,"$415,000.00","$408,000.00",33,Yes,2,0-.25 Acres,0.98,NC,"213 Sunset Pointe Drive,Apex,NC,27539",35.6790715,-78.80434919999999
2206,2286637,CLOSED,2982 Thirlestane Drive,Apex,27502,3/16/2020,Buckhorn Preserve,"3,256",2019,4,4,0,Detached,"$409,990.00","$408,000.00",0,Yes,2,0-.25 Acres,1.0,NC,"2982 Thirlestane Drive,Apex,NC,27502",35.712153,-78.9226291
2207,2283324,CLOSED,844 Bay Bouquet Lane,Apex,27523,2/13/2020,Ellington Place,"2,776",2015,4,2,2,Detached,"$414,900.00","$408,000.00",95,Yes,2,0-.25 Acres,0.98,NC,"844 Bay Bouquet Lane,Apex,NC,27523",35.7565467,-78.83306610000001
2208,2279353,CLOSED,406 Scotts Ridge Trail,Apex,27502-6584,11/15/2019,Scotts Mill,"2,649",1999,3,2,1,Detached,"$410,000.00","$408,000.00",8,Yes,2,0-.25 Acres,1.0,NC,"406 Scotts Ridge Trail,Apex,NC,27502-6584",35.7270349,-78.88105639999999
2209,2155319,CLOSED,2329 Redbud Tree Drive,Apex,27539,3/30/2018,Colvin Park,"2,896",2017,5,4,0,Detached,"$420,071.00","$408,071.00",0,,2,0-.25 Acres,0.97,NC,"2329 Redbud Tree Drive,Apex,NC,27539",35.699331,-78.804692
2210,2312496,CLOSED,2904 Karpathos Court,Apex,27502,6/22/2020,Arcadia West,"2,458",2020,4,3,1,Detached,"$414,990.00","$408,440.00",0,Yes,2,0-.25 Acres,0.98,NC,"2904 Karpathos Court,Apex,NC,27502",35.7241053,-78.92425349999999
2211,2211025,CLOSED,1444 Tinos Overlook Way,Apex,27502,9/27/2018,Arcadia West,"2,546",2018,5,3,0,Detached,"$409,000.00","$409,000.00",0,Yes,2,0-.25 Acres,1.0,NC,"1444 Tinos Overlook Way,Apex,NC,27502",35.7253322,-78.9233015
2212,2232082,CLOSED,400 Brook Pine Trail,Apex,27523,8/21/2019,Greenmoor,"2,759",2018,4,3,0,Detached,"$413,900.00","$409,000.00",0,Yes,2,0-.25 Acres,0.99,NC,"400 Brook Pine Trail,Apex,NC,27523",35.7647703,-78.88926289999999
2213,2266693,CLOSED,1504 Samos Island Drive,Apex,27502,9/30/2019,Arcadia West,"2,751",2019,5,3,1,Detached,"$436,057.00","$409,000.00",0,Yes,2,0-.25 Acres,0.94,NC,"1504 Samos Island Drive,Apex,NC,27502",35.7246612,-78.9230243
2214,2190248,CLOSED,420 Brook Pine Trail,Apex,27523,1/25/2019,Greenmoor,"2,763",2018,4,3,1,Detached,"$418,900.00","$409,000.00",0,Yes,2,0-.25 Acres,0.98,NC,"420 Brook Pine Trail,Apex,NC,27523",35.764764,-78.89014399999999
2215,2175890,CLOSED,205 Curley Maple Court,Apex,27502,3/22/2018,Scotts Mill,"2,696",1999,5,2,1,Detached,"$400,000.00","$409,500.00",2,Yes,2,0-.25 Acres,1.02,NC,"205 Curley Maple Court,Apex,NC,27502",35.7299944,-78.8842499
2216,2313764,CLOSED,3530 Barn Road,Apex,27502,9/28/2020,Deer Creek,"2,492",2020,4,3,0,Detached,"$417,637.00","$409,637.00",0,Yes,2,0-.25 Acres,0.98,NC,"3530 Barn Road,Apex,NC,27502",35.736273,-78.947946
2217,2243952,CLOSED,2408 Thurrock Drive,Apex,27539,8/19/2019,Brighton Forest,"2,975",2007,5,3,0,Detached,"$409,900.00","$409,900.00",115,Yes,2,.26-.5 Acres,1.0,NC,"2408 Thurrock Drive,Apex,NC,27539",35.6456376,-78.731258
2218,2305935,CLOSED,5632 Monarch Birch Drive,Apex,27539-5748,6/5/2020,Fair Oaks,"2,869",2003,4,2,1,Detached,"$409,900.00","$409,900.00",8,,2,.51-.75 Acres,1.0,NC,"5632 Monarch Birch Drive,Apex,NC,27539-5748",35.6804657,-78.81337669999999
2219,2247324,CLOSED,3156 Mavisbank Circle,Apex,27502,7/31/2019,Buckhorn Preserve,"2,430",2019,4,3,0,Detached,"$409,990.00","$409,990.00",0,Yes,2,0-.25 Acres,1.0,NC,"3156 Mavisbank Circle,Apex,NC,27502",35.713762,-78.925224
2220,2266715,CLOSED,1523 Samos Island Drive,Apex,27502,11/22/2019,Arcadia West,"3,016",2019,5,2,1,Detached,"$419,900.00","$409,990.00",0,Yes,2,0-.25 Acres,0.98,NC,"1523 Samos Island Drive,Apex,NC,27502",35.7239309,-78.9228025
2221,2254178,CLOSED,2915 Patmos Island Drive,Apex,27502,11/15/2019,Arcadia West,"2,751",2019,5,4,0,Detached,"$409,990.00","$409,990.00",0,Yes,2,0-.25 Acres,1.0,NC,"2915 Patmos Island Drive,Apex,NC,27502",35.7244461,-78.92468269999999
2222,2198937,CLOSED,3449 Barn Road,Apex,27502,3/8/2019,Deer Creek,"3,184",2019,6,4,0,Detached,"$409,990.00","$409,990.00",0,Yes,2,0-.25 Acres,1.0,NC,"3449 Barn Road,Apex,NC,27502",35.735979,-78.945331
2223,2181516,CLOSED,8652 Forester Lane,Apex,27539-7930,6/11/2018,Belmont,"2,939",2008,5,3,0,Detached,"$409,995.00","$409,995.00",14,Yes,2,.26-.5 Acres,1.0,NC,"8652 Forester Lane,Apex,NC,27539-7930",35.6659326,-78.74932369999999
2224,2151928,CLOSED,3621 Glashields Way,Apex,27539,2/27/2018,Royal Senter Ridge,"3,203",2001,4,2,1,Detached,"$424,900.00","$410,000.00",126,Yes,2,.76-.99 Acres,0.96,NC,"3621 Glashields Way,Apex,NC,27539",35.677788,-78.72217359999999
2225,2310942,CLOSED,2930 Thirlestane Drive,Apex,27502,6/29/2020,Buckhorn Preserve,"3,264",2020,4,4,0,Detached,"$414,490.00","$410,000.00",0,Yes,2,0-.25 Acres,0.99,NC,"2930 Thirlestane Drive,Apex,NC,27502",35.7111621,-78.9212999
2226,2308496,CLOSED,2954 Thirlestane Drive,Apex,27502,6/25/2020,Buckhorn Preserve,"3,256",2020,4,4,0,Detached,"$412,990.00","$410,000.00",0,Yes,2,0-.25 Acres,0.99,NC,"2954 Thirlestane Drive,Apex,NC,27502",35.711606,-78.9218976
