MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2259121,CLOSED,1700 Green Hickory Court,Apex,27523,8/5/2019,Walden Creek,"2,290",1996,3,2,1,Detached,"$379,900.00","$374,500.00",9,Yes,2,.26-.5 Acres,0.99
2266413,CLOSED,4809 Rhythm Drive,Apex,27539-5791,8/20/2019,Harmony Glen,"2,605",2001,4,3,1,Detached,"$374,900.00","$374,900.00",3,Yes,2,.51-.75 Acres,1.00
2244624,CLOSED,906 Ambergate Station,Apex,27502,6/18/2019,The Villages of Apex,"2,474",2012,4,3,1,Detached,"$374,900.00","$374,900.00",46,Yes,2,0-.25 Acres,1.00
2177161,CLOSED,5436 Moneta Lane,Apex,27539,4/27/2018,The Park At West Lake,"3,016",2012,4,2,1,Detached,"$374,900.00","$374,900.00",10,Yes,2,0-.25 Acres,1.00
2270306,CLOSED,3125 Mavisbank Circle,Apex,27502,12/17/2019,Buckhorn Preserve,"1,861",2019,3,2,0,Detached,"$374,990.00","$374,990.00",0,Yes,2,0-.25 Acres,1.00
2291874,CLOSED,3452 Lovage Drive,Apex,27502,4/21/2020,Deer Creek,"2,445",2020,4,2,1,Detached,"$396,800.00","$374,990.00",0,Yes,2,0-.25 Acres,0.95
2247670,CLOSED,3456 Barn Road,Apex,27502,8/2/2019,Deer Creek,"2,544",2019,4,2,1,Detached,"$379,080.00","$375,000.00",0,Yes,2,0-.25 Acres,0.99
2194774,CLOSED,2913 Macbeth Lane,Apex,27502,7/30/2018,McKenzie Ridge,"2,588",2018,4,3,0,Detached,"$379,000.00","$375,000.00",0,Yes,2,0-.25 Acres,0.99
2339701,CLOSED,3616 Colby Chase Drive,Apex,27539,10/15/2020,Pemberley,"2,364",2014,4,2,1,Detached,"$375,000.00","$375,000.00",2,,2,0-.25 Acres,1.00
2226839,CLOSED,2922 Macbeth Lane,Apex,27502,4/26/2019,McKenzie Ridge,"2,588",2019,4,3,0,Detached,"$384,910.00","$375,000.00",0,Yes,2,0-.25 Acres,0.97
2264395,CLOSED,108 Aldenwood Place,Apex,27539,7/31/2019,Woodcreek,"2,520",2012,4,3,0,Detached,"$375,000.00","$375,000.00",2,Yes,2,0-.25 Acres,1.00
2330467,CLOSED,6009 Splitrock Trail,Apex,27539,10/30/2020,Lynnhaven,"2,387",1977,3,2,1,Detached,"$390,000.00","$375,000.00",53,No,2,1-2.9 Acres,0.96
2334111,CLOSED,1930 White Dogwood Road,Apex,27502,10/14/2020,Amherst,"2,395",2001,4,2,1,Detached,"$385,000.00","$375,000.00",40,Yes,2,.26-.5 Acres,0.97
2327266,CLOSED,1212 Applethorn Drive,Apex,27502,8/6/2020,Whitehall Manor,"2,267",2005,4,2,1,Detached,"$380,000.00","$375,000.00",2,Yes,2,0-.25 Acres,0.99
2337894,CLOSED,1805 Patterson Grove Road,Apex,27502,10/30/2020,Pearson Farms,"2,128",1999,4,2,1,Detached,"$365,000.00","$375,000.00",4,Yes,2,0-.25 Acres,1.03
2221867,CLOSED,2960 Baronial Street,Apex,27502,9/11/2019,Buckhorn Preserve,"2,581",2019,4,3,0,Detached,"$384,990.00","$375,000.00",0,Yes,2,0-.25 Acres,0.97
2246463,CLOSED,2704 Elk Knob Trail,Apex,27502,5/21/2019,Bella Casa,"2,362",2015,4,3,0,Detached,"$375,000.00","$375,000.00",7,Yes,2,0-.25 Acres,1.00
2210531,CLOSED,1507 Barn Door Drive,Apex,27502,5/31/2019,Smith Farm,"2,311",2019,4,3,0,Detached,"$379,990.00","$375,000.00",0,Yes,2,0-.25 Acres,0.99
2270324,CLOSED,3002 New Yarmouth Way,Apex,27502,8/28/2019,Shepherds Vineyard,"2,346",1991,3,2,1,Detached,"$375,000.00","$375,000.00",1,,2,0-.25 Acres,1.00
2181558,CLOSED,2002 Fitchburg Court,Apex,27523,5/23/2018,Walden Creek,"2,227",1998,4,2,1,Detached,"$375,000.00","$375,000.00",5,Yes,2,.26-.5 Acres,1.00
2196015,CLOSED,106 Lacuna Woods Lane,Apex,27539,8/1/2018,Miramonte,"2,835",2007,5,2,1,Detached,"$375,000.00","$375,000.00",9,Yes,2,0-.25 Acres,1.00
